Date,HM-B.ST,ERIC-B.ST,SEB-A.ST,SWED-A.ST,VOLV-B.ST,TELIA.ST,SHB-A.ST,ATCO-A.ST,SKA-B.ST,INVE-B.ST,ELUX-B.ST,ASSA-B.ST,SCA-B.ST,ALFA.ST,INDU-C.ST,AZN.ST,ATCO-B.ST,ESSITY-B.ST,GETI-B.ST,KINV-B.ST,HEXA-B.ST,ALIV-SDB.ST,SKF-B.ST,LATO-B.ST,SAND.ST,INVE-A.ST,MTG-B.ST,FING-B.ST,Median_Return,HM-B.ST_Target,ERIC-B.ST_Target,SEB-A.ST_Target,SWED-A.ST_Target,VOLV-B.ST_Target,TELIA.ST_Target,SHB-A.ST_Target,ATCO-A.ST_Target,SKA-B.ST_Target,INVE-B.ST_Target,ELUX-B.ST_Target,ASSA-B.ST_Target,SCA-B.ST_Target,ALFA.ST_Target,INDU-C.ST_Target,AZN.ST_Target,ATCO-B.ST_Target,ESSITY-B.ST_Target,GETI-B.ST_Target,KINV-B.ST_Target,HEXA-B.ST_Target,ALIV-SDB.ST_Target,SKF-B.ST_Target,LATO-B.ST_Target,SAND.ST_Target,INVE-A.ST_Target,MTG-B.ST_Target,FING-B.ST_Target
2002-05-15,-0.05213270142180093,0.08050851668221215,0.004608333358395278,-0.007575715756198864,-0.022277264650655937,0.03401360588350877,-0.01253919903978784,-0.009746562632340083,0.013698630136986356,0.014851485148514865,0.005633730901846601,-0.003649579550726645,-0.0014346817715965576,,-0.010830324909747335,0.03131749460043198,0.0,,-0.00791555115426501,-0.023999922289306697,-0.0027249243968189285,0.004210526315789442,-0.001941747572815511,0.0,-0.006097564452815507,0.019512195121951237,-0.019125650484501655,0.006622397806914204,-0.0016882146722060343,0,1,1,0,0,1,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0,1
2002-05-16,-0.01749999999999996,-0.03137257728683962,-0.00917432004111618,-0.007633615734916943,0.012658227848101333,-0.062499988235925175,-0.012698427145254376,-0.01574808371786096,-0.03378378378378377,0.004878048780487809,0.0,0.0,-0.010057523731491602,,0.007299270072992803,-0.008376963350785305,-0.02647647389557628,,-0.015957474440556618,-0.01639348039124433,0.008195632281601695,-0.016771488469601636,0.0,-0.033816461977751344,-0.014314909316776925,0.004784688995215225,-0.03621169514725309,-0.06250002182988967,-0.01350666823101565,0,0,1,1,1,0,1,0,0,1,1,1,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0
2002-05-17,0.01781170483460559,0.06882587872542212,-0.023148134478323867,0.0038461680362995576,-0.022500038146972656,0.024561430278577268,0.009646313366444836,-0.005999960051605635,0.013986013986013957,0.004854368932038833,0.002801128214628079,-0.01098901098901095,0.011611045134122921,,-0.0036231884057971175,-0.006335797254487852,-0.004184152345469205,,0.002702697227870754,-0.027777749150109554,-0.02438912314986308,0.002132196162046851,0.011673151750972721,0.024999962806700138,0.002074662228125135,0.0,-0.03757225001063458,0.052631667186082254,0.0024174466949588025,1,1,0,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1
2002-05-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-05-21,-0.0050000000000000044,-0.041666596642404685,-0.018957362628958196,-0.019157087851805032,-0.010230120889809902,-0.02739729875022945,-0.022293019073834408,-0.014084493402501286,-0.006896551724137945,-0.009661835748792313,0.0,0.011111111111111072,0.005738968574649395,-0.005102040816326481,0.0,0.0,-0.01680667518328216,,0.016172535285420286,-0.03714289486381883,-0.005556140276904764,-0.014893617021276562,-0.017307692307692357,0.01219516007550192,-0.01035191756439413,-0.004761904761904745,0.051050993690587854,-0.06333335161998821,-0.009661835748792313,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,1,0,1,0,0,1,0,1,1,0
2002-05-22,-0.017587939698492483,-0.07114628730798467,-0.009661844402481523,-0.003906264355570177,-0.018087874654767466,-0.024647847358916453,-0.009771998377870683,-0.030612284990081617,-0.01388888888888884,-0.024390243902439046,-0.02513964791014145,-0.04395604395604391,-0.011412281432616411,-0.03076923076923077,-0.021818181818181848,-0.020191285866099862,-0.029914639929632614,,0.002652514460689037,-0.020771512165164818,0.0027937535575988104,0.008639308855291628,-0.025440313111546042,-0.02650606183913129,-0.01464433129083853,-0.02392344497607657,-0.017142818099507018,-0.05693952430344973,-0.020771512165164818,1,0,1,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0
2002-05-23,0.0,0.0,0.00975610638434099,0.01176467694558525,0.01052635594418172,0.010830297068508576,0.013157910248094762,0.012631621344956212,-0.007042253521126751,-0.015000000000000013,0.031518622610187785,0.019157058891208667,0.002885925313263371,0.005291005291005346,-0.044609665427509326,-0.013015184381778733,0.013215889888957832,,0.005291054567338804,-0.0030302590499451387,-0.008357157619642064,0.0064239828693790635,0.002008032128514081,0.0,-0.006369515101951939,-0.019607843137254943,-0.0029069819525885388,0.0566037660248786,0.002885925313263371,0,0,1,1,1,1,1,1,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1
2002-05-24,-0.002557544757033292,0.012765935640430603,0.0,0.003875983403249128,0.018229086469448097,-0.0035714421953473297,0.0,0.004158017940153247,-0.007092198581560294,-0.005076142131979711,0.005555570830649614,-0.007518768526199704,-0.008633104327595675,0.0,0.0,-0.005494505494505475,-0.0021739402116253137,,-0.010526353538375166,0.03343467631926478,0.022472013730118645,0.006382978723404209,0.01002004008016022,0.0,0.0,0.0,0.014577285669301165,-0.03571431280116888,0.0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0
2002-05-27,-0.01025641025641022,-0.021008367927840443,-0.004830886374967203,0.003861018160937757,0.0025576033943977006,0.010752729337312639,0.0032467570244980593,0.006211138345807443,0.0,0.0,0.0,-0.011363636363636354,-0.005805441136330081,-0.015789473684210575,0.0,-0.011049723756906049,0.008714706096516922,,0.005319138011872893,-0.05294119806155806,0.002747384509471207,-0.0021141649048626032,-0.001984126984126977,0.01732680952066934,0.0042735353833982526,0.004999999999999893,0.002873497463896424,-0.03703696785215649,0.0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,1,0
2002-05-28,-0.005181347150259086,0.0,-0.01456315537889219,-0.007692336072599004,-0.007653041612799449,-0.035460991948418785,-0.006472499416050881,-0.008230480184381772,0.0,-0.020408163265306145,0.011049753970455267,-0.015325699729480946,-0.002919711496760291,-0.010695187165775444,-0.015564202334630295,-0.010055865921787754,-0.008639416124149424,,-0.002645497241001604,0.049689450752844255,-0.01369812133761572,0.0,-0.005964214711729587,-0.0024331642763457673,-0.0042553499946274,-0.014925373134328401,0.02578801297983513,0.0,-0.006472499416050881,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,1,1,1,1,0,1,1
2002-05-29,-0.0234375,-0.02575111927187823,-0.004926076341214336,-0.0038759119025130184,-0.025706939865663858,-0.022058836935300308,0.003257332792623524,-0.008298658334681352,-0.0071428571428571175,-0.02083333333333337,-0.008196743479039093,-0.019455223809482725,0.0,-0.010810810810810811,-0.01976284584980237,-0.021444695259593693,-0.013071792664449466,,-0.018567661469536034,-0.03846157684182583,0.0,-0.021186440677966156,-0.02200000000000002,-0.009756061070590905,-0.010683709992933554,-0.025252525252525304,0.011173135498034892,-0.03076919150126578,-0.018567661469536034,0,0,1,1,0,0,1,1,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0
2002-05-30,-0.021333333333333315,-0.05726871959690194,-0.019801997645811587,-0.015564259310913542,-0.029023805924315194,-0.048872222773154395,-0.0064935140489960075,-0.027196678787839157,-0.03597122302158273,-0.02659574468085102,-0.01652897069080328,0.019841239565894675,-0.010248955184058106,-0.016393442622950838,0.0,-0.016147635524798143,-0.02649005773147861,,-0.021621577822966254,-0.012307721046852627,-0.013890189759780402,-0.012987012987012991,-0.020449897750511203,0.004926146142748999,-0.017278656040084717,-0.025906735751295318,-0.04972371213049387,-0.08730170935975434,-0.019801997645811587,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,0,0,0
2002-05-31,-0.013623978201634857,0.018691656140028767,-0.020202038361894492,0.0,-0.01630430670000793,-0.02371535542349701,-0.003267977683497625,0.0021504800379661404,0.00746268656716409,0.005464480874316946,-0.002801128214627968,0.031128375906988914,0.0029585835649426073,0.0,-0.024193548387096753,0.01289566236811246,0.009070268684087779,,0.049723779437389704,-0.003115219625715482,0.002817473602232834,-0.002192982456140302,0.014613778705636848,0.0,-0.0109889587154266,0.005319148936170137,0.011627927810354377,-0.0391303740649761,0.0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0
2002-06-03,0.011049723756906049,-0.004587147961204074,0.010309287808743184,0.0,0.005524882837687928,0.0161943160394733,-0.0065573064213600984,0.010729585197672975,-0.014814814814814836,-0.010869565217391353,0.0056179931483735235,-0.0037735275426052928,-0.00884956850688634,-0.011111111111111072,-0.008264462809917328,-0.01736111111111116,0.00898866969557588,,-0.010526353538375166,-0.0031250599473117147,0.0,0.01318681318681314,-0.006172839506172867,0.004901885986328125,0.015555534178887331,-0.010582010582010581,0.0,0.04072391613679982,0.0,1,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1
2002-06-04,-0.013661202185792365,-0.041474679054609886,-0.010204090898840557,0.0,-0.00824184173576259,-0.027888476187284628,0.003300254826509308,-0.01698506776348563,-0.007518796992481258,0.0,-0.027932951722648203,-0.0189394517378374,-0.013392832170182167,-0.011235955056179803,-0.008333333333333304,-0.007067137809187329,-0.017817254689850737,,-0.015957474440556618,-0.034482682055930525,-0.04494315950912586,-0.015184381778741818,-0.020703933747411973,-0.004877974710453259,-0.0065645550687042364,0.005347593582887722,-0.0172414098464877,-0.02173909029089327,-0.013661202185792365,0,0,1,1,1,0,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0
2002-06-05,0.013850415512465464,0.024038420029998786,0.010309287808743184,-0.007905094822201919,-0.0027700409514637148,0.020491803599057556,-0.009868354095724174,0.004319668740934146,0.022727272727272707,0.01098901098901095,-0.005747142272658823,0.03474903679624797,0.012066379813566286,0.0,-0.008403361344537785,0.0,0.011337870524740001,,0.005405455840220563,-0.02597408570589732,0.0,-0.0022026431718061845,0.0021141649048626032,0.0,0.006607933210152739,0.005319148936170137,0.023391782934750083,0.0,0.004319668740934146,1,1,1,0,0,1,0,0,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0
2002-06-06,0.002732240437158362,-0.05164320459587657,-0.005102007612488024,0.0,0.0,0.012048238915872256,-0.0033222628280095146,-0.021505447296225166,-0.014814814814814836,-0.048913043478260865,-0.002890181420144855,-0.0037312865602456835,0.0,0.017045454545454586,-0.025423728813559365,-0.03558718861209964,-0.02914806953302551,,0.0,0.006666682406679447,0.020588301783181162,0.002207505518763808,0.014767932489451407,0.004901885986328125,-0.004376399280852872,-0.04761904761904767,0.005714296179513578,-0.15555555686642697,-0.002890181420144855,1,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,1,0
